date,symbol,file_path,row_count,prefix,processed_quotes,completed_trades,skipped_low_edge,missed_expected_edge_bps,return_intervals,total_net_return_bps,max_drawdown_bps,minute_return_sharpe,trade_sharpe_reference,latency_expired_signals
2026-03-02,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_02.csv,902935,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_02_mm-only_heuristic,902935,573,0,0.0000,60,601.9162,3.2991,1.1235,15.9458,0
2026-03-03,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_03.csv,1202713,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_03_mm-only_heuristic,1202713,848,0,0.0000,60,584.4771,6.3019,1.6246,14.3549,0
2026-03-04,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_04.csv,832245,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_04_mm-only_heuristic,832245,925,20,22.8200,60,772.3053,3.7448,0.9902,22.6318,0
2026-03-05,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_05.csv,925158,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_05_mm-only_heuristic,925158,625,0,0.0000,60,595.2670,2.1685,1.0383,18.1485,0
2026-03-06,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_06.csv,1182855,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_06_mm-only_heuristic,1182855,612,0,0.0000,60,388.2624,5.1305,1.1687,12.7690,0
2026-03-09,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_09.csv,1244714,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_09_mm-only_heuristic,1244714,967,0,0.0000,60,415.3388,6.4905,1.0390,11.5757,0
2026-03-10,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_10.csv,723582,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_10_mm-only_heuristic,723582,341,0,0.0000,60,200.4581,3.7718,0.9833,10.8370,0
2026-03-11,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_11.csv,582400,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_11_mm-only_heuristic,582400,344,0,0.0000,60,214.0242,2.8433,0.9611,10.3542,0
2026-03-12,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_12.csv,489463,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_12_mm-only_heuristic,489463,352,0,0.0000,60,281.5382,2.2141,1.0368,14.3120,0
2026-03-13,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_13.csv,943635,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_13_mm-only_heuristic,943635,426,0,0.0000,60,133.6400,3.8120,0.6359,5.8342,0
2026-03-16,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_16.csv,812713,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_16_mm-only_heuristic,812713,688,294,250.5076,60,354.2270,5.6192,1.0438,13.8047,0
2026-03-17,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_17.csv,333314,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_17_mm-only_heuristic,333314,144,4,1.3705,60,62.8619,4.5363,0.4743,5.1222,0
2026-03-18,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_18.csv,821638,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_18_mm-only_heuristic,821638,772,3,2.5623,60,552.4222,5.0741,1.1060,17.6059,0
2026-03-19,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_19.csv,372547,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_19_mm-only_heuristic,372547,68,0,0.0000,60,30.9105,2.1800,0.4160,3.6713,0
2026-03-20,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_20.csv,580028,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_20_mm-only_heuristic,580028,113,0,0.0000,60,56.9571,2.5005,0.4099,5.0590,0
2026-03-23,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_23.csv,1105279,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_23_mm-only_heuristic,1105279,715,0,0.0000,60,245.5052,6.7397,0.7114,8.8583,0
2026-03-24,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_24.csv,945895,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_24_mm-only_heuristic,945895,381,0,0.0000,60,234.6144,5.1944,0.7857,10.1337,0
2026-03-25,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_25.csv,835290,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_25_mm-only_heuristic,835290,824,0,0.0000,60,309.3994,6.5860,0.8677,9.6855,0
2026-03-26,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_26.csv,308049,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_26_mm-only_heuristic,308049,59,0,0.0000,60,14.7223,4.0156,0.2444,1.9209,0
2026-03-27,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_27.csv,644500,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_27_mm-only_heuristic,644500,68,0,0.0000,60,31.6853,3.6556,0.3915,3.2546,0
2026-03-30,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_30.csv,777568,build/real_quote_symbol_suite/spy/latency_0us_mm_only/spy_2026_03_30_mm-only_heuristic,777568,405,44,8.9396,60,207.7398,7.1124,0.6959,7.5785,0
